id,url,headline,author,date
0,https://www.theverge.com/23656561/sonos-era-100-speaker-review-features,Sonos Era 100 review: the new default smart speaker,Chris Welch,2023/3/27
1,https://www.theverge.com/2023/3/27/23657938/microsoft-teams-overhaul-performance-improvements-ui-design-changes-features,The new Microsoft Teams is here with big performance improvements and UI changes,Tom Warren,2023/3/27
2,https://www.theverge.com/2023/3/27/23658630/diablo-iv-beta-impressions-pc-ps5,The Diablo IV beta let players do a lot — but not pet the dog,Ash Parrish,2023/3/27
3,https://www.theverge.com/2023/3/27/23659109/binance-cftc-vpn-signal-notes,"Binance really loved telling people to use VPNs, allegedly",Elizabeth Lopatto,2023/3/27
4,https://www.theverge.com/23654936/aqara-g4-video-doorbell-review,Aqara Video Doorbell G4 review: this battery-powered buzzer needs to go back to basics,Jennifer Pattison Tuohy,2023/3/27
5,https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,Adi Robertson,2023/3/27
6,https://www.theverge.com/2023/3/24/23655476/google-docs-update-redesign-ugly,Some questions for the employees behind Google Docs,Elizabeth Lopatto,2023/3/24
7,https://www.theverge.com/2023/3/25/23656212/arrested-development-staying-on-netflix-licensing-deal,It turns out Arrested Development is staying on Netflix after all,Emma Roth,2023/3/25
8,https://www.theverge.com/2023/3/27/23655477/hisense-u8h-microsoft-365-target-bogo-samsung-980-ssd-eero-deal-sale,Hisense’s bright yet affordable U8H Mini LED TV is $100 off,Antonio G. Di Benedetto,2023/3/27
9,https://www.theverge.com/2023/3/27/23624186/nintendo-switch-oled-deal-sale,The Nintendo Switch OLED is on sale at Woot,Sheena Vasani,2023/3/27
10,https://www.theverge.com/2023/3/25/23654072/amazon-kindle-paperwhite-scribe-bose-quietcomfort-45-echo-show-8-apple-deal-sale,The Kindle Paperwhite and Kindle Scribe are down to their best prices of the year,Sheena Vasani,2023/3/25
11,https://www.theverge.com/2023/3/24/23654710/ps5-xbox-console-resident-evil-jabra-elite-active-deal-sale,The PlayStation 5 with God of War Ragnarök is $50 off,Antonio G. Di Benedetto,2023/3/24
12,https://www.theverge.com/23657335/sonos-era-300-review-spatial-audio-atmos-speaker,Sonos Era 300 review: too ahead of its time,Chris Welch,2023/3/27
13,https://www.theverge.com/23658252/tesla-supercharger-non-tesla-ev-how-to-charge,How to charge your non-Tesla EV at a Tesla Supercharger,Patrick George,2023/3/27
14,https://www.theverge.com/21286781/best-video-call-apps-free,The best free apps for video meetings,Barbara Krasnoff,2023/3/23
15,https://www.theverge.com/2023/3/24/23654817/energy-efficiency-standards-doe-window-ac-air-purifier,Window AC units and air purifiers in the US are about to get more energy-efficient,Justine Calma,2023/3/24
16,https://www.theverge.com/2023/3/23/23653317/wind-energy-recovery-inflation-tax-subsidies,Wind energy is recovering from a 2022 slump,Justine Calma,2023/3/23
17,https://www.theverge.com/2023/3/26/23655517/successio-season-4-review,Succession’s final season doubles down on its core conceit — to a fault,Charles Pulliam-Moore,2023/3/26
18,https://www.theverge.com/23655396/dungeons-and-dragons-honor-among-thieves-review,Dungeons & Dragons: Honor Among Thieves is great — you just have to roll with it,Jess Weatherbed,2023/3/25
19,https://www.theverge.com/2018/12/5/18055980/better-worlds-science-fiction-short-stories-video,Better Worlds: a science fiction project about hope,Verge Staff,2018/12/5
20,https://www.theverge.com/2019/11/25/20976885/pirate-radio-podcast-illegal-special-series-verge-afghan-djs-hmong-diaspora,Pirate Radio: a special series from The Verge,Verge Staff,2019/11/25
